bem bem
antes antes
de de
eu eu
trazer trazer
a o
palavra palavra
pra pra
você você
nós nós
estamos estar
aqui aqui
esta este
noite noite
também também
com com
uma um
serva servo
do de_o
senhor senhor
com com
uma um
voz voz
muito muito
linda lindo
e e
talão talão
sendo ser
um um
cd cd
e e
um um
livro livro
é ser
a a
chorar chorar
e e
morais moral
a a
caminho caminho
no em_o
deserto deserto
e e
não não
temas tema
aprenda aprender
a a
vencer vencer
seus seu
medos medo
em em
deus deus
é ser
o o
livro livro
que que
ela ela
vai ir
autografar autografar
no em_o
final final
lá lá
do de_o
lado lado
de de
fora fora
tá estar
e e
o o
cd cd
chega chegar
aqui aqui
soraia soraia
vamos ir
receber receber
com com
aplausos aplauso
ela ela
vai ir
inovar inovar
glória glória
a a
deus deus
massa massa
já já
com com
todos todo
amei amar
que que
bom bom
estar estar
aqui aqui
na em_o
casa casa
do de_o
senhor senhor
que que
bom bom
que que
você você
escolheu escolher
terminar terminar
o o
seu seu
dia dia
na em_o
presença presença
de de
deus deus
talvez talvez
ele ele
começou começar
conturbado conturbar
com com
más mau
notícias notícia
com com
dificuldades dificuldade
mas mas
vamos ir
profetizar profetizar
que que
ele ele
vai ir
terminar terminar
com com
o o
poder poder
com com
o o
são ser
com com
graça graça
com com
solução solução
com com
palavra palavra
que que
vai ir
revigorar revigorar
o o
teu teu
espírito espírito
a o
tua tua
alma alma
porque porque
todo todo
o o
problema problema
vai ir
se se
curva curvar
diante diante
da de_o
grandeza grandeza
de de
deus deus
ele ele
é ser
grande grande
quando quando
você você
entender entender
que que
deus deus
é ser
maior grande
que que
o o
seu seu
problema problema
quando quando
a o
má má
notícia notícia
bater bater
na em_o
sua seu
porta porta
você você
vai ir
fazer fazer
assim assim
é ser
algo algo
que que
eu eu
faço fazer
alguns algum
anos ano
desde desde
que que
fui ser
curada curar
da de_o
depressão depressão
eu eu
vou ir
chorar chorar
por por
cinco cinco
minutos minuto
contados contar
no em_o
relógio relógio
o o
vovô vovô
por por
botar botar
uma um
maquiagem maquiagem
irmão irmão
não não
está estar
só só
é ser
bom bom
de de
bola bola
pra para_o
frente frente
porque porque
o o
meu meu
deus deus
não não
é ser
menor pequeno
meu meu
deus deus
não não
é ser
pequeno pequeno
meu meu
deus deus
é ser
maior grande
do de_o
que que
qualquer qualquer
má má
notícia notícia
é ser
maior grande
que que
a o
crise crise
então então
vamos ir
adorar adorar
vamos ir
adorar adorar
ele ele
é ser
maior grande
os o
teus teu
problemas problema
ele ele
é ser
maior grande
os o
seus seu
lemas lema
ele ele
grande grande
ele ele
é é
é ser
o o
com com
um um
grande grande
aonde aonde
é ser
o o
meu meu
deus deus
canta cantar
com com
laura laura
aonde aonde
é ser
o o
meu meu
deus deus
e e
todos todos
com com
grande grande
o o
mel mel
ei ei
majestade majestade
quilos quilo
faz fazer
a o
terra terra
se se
a o
legal legal
mas mas
a o
terra terra
a a
alegria alegria
porque porque
a o
igreja igreja
porque porque
um um
grande grande
randy randy
é ser
o o
meu meu
randy randy
é ser
um um
erro erro
e e
todos todos
à a_o
tarde tarde
é ser
nem nem
cuesta cuesta
isso isso
as o
mãos mão
o o
começo começo
e e
um um
fim fim
o o
contexto contexto
eo eo
fim fim
já já
o o
pé pé
eu eu
tenho ter
levante levante
a o
tua tua
mão mão
sem sem
ajuda ajuda
a a
levantar levantar
no em_o
rio rio
de de
janeiro janeiro
a a
razão razão
um um
grande grande
é ser
o o
meu meu
deus deus
sombra sombrar
eu eu
cantar cantar
é ser
dizer dizer
e e
todo todo
o o
saldo saldo
de de
gols gol
mais mais
uma um
vez vez
com com
grande grande
é ser
o o
meu meu
deus deus
todos todo
ao a_o
terror terror
todos todo
repita repetir
assim assim
comigo com_eu
minha meu
família família
ver ver
a o
épica épico
assim assim
comigo com_eu
minha meu
família família
verá ver
meus meu
e e
marcel marcel
minha meu
igreja igreja
peça pedir
manhã manhã
meu meu
saber saber
gostoso gostoso
lembrar lembrar
algo algo
assim assim
o o
que que
você você
serve servir
o o
deus deus
que que
até até
o o
dia dia
que que
dá dar
tudo tudo
errado errar
