_NAME_	Factor1	Factor2	Factor3	load	secondary
v000031	0.8936265897	0.2520241575	-0.079567183		
v000044	0.5248639058	-0.188990493	-0.034811834		
v000055	0.8775973597	0.1005420879	0.0531977748		
v000056	0.8808579154	0.1943445343	-0.056390214		
v000059	0.8894468017	0.0398820828	-0.024457721		
v000061	0.8839396145	0.1789163344	-0.000968998		
v000065	0	0	0		
v000067	0	0	0		
v000068	0.8543632153	0.0438342868	-0.015149455		
v000072	0	0	0		
v000073	0.870488249	0.1155904043	0.0037572855		
v000081	0.0376593394	0.6258191261	0.188382252		
v000083	0.8194642438	-0.070621707	-0.060949988		
v000084	0.8446968161	0.0084621828	-0.017580155		
v000088	0.8765365778	0.0632850205	0.0062811279		
v000089	0.8529329908	0.0637113102	-0.046314001		
v000090	0	0	0		
v000093	0.8240129877	-0.016576446	0.0021441592		
v000096	0	0	0		
v000097	0.8940215039	0.0197705489	-0.002069582		
v000099	0	0	0		
v000102	0	0	0		
v000109	0.8879898976	-0.06032747	-0.038458419		
v000113	0.8337286178	0.0572084526	-0.005995091		
v000114	0.7914155144	0.0376183132	0.1062900535		
v000115	0	0	0		
v000119	0.8384067429	-0.021712106	-0.054458962		
v000123	0.1316038497	0.2816586839	0.4178285107		
v000124	0.879110933	0.0610421742	-0.019494469		
v000126	0	0	0		
v000127	0.8943021733	0.1828753858	0.0025501315		
v000133	0.842445414	0.080612625	0.0327447566		
v000135	0.825640396	0.1816090417	0.0073096992		
v000137	0.8078538246	-0.028888767	-0.130588486		
v000138	0.8310907063	-0.010344506	0.0039137232		
v000149	0.7092433519	-0.073385205	0.2666181382		
v000150	0.7173184335	0.1057708997	-0.055070553		
v000151	0.8403927651	-0.047474103	0.0302428292		
v000155	0.7933646974	-0.013073159	0.002168342		
v000158	0.8792750041	-0.006124975	-0.008689497		
v000159	0.7702965698	-0.09369903	0.0704809718		
v000162	0.8598157224	0.0470564537	0.1201193471		
v000164	0	0	0		
v000171	0.8940750937	0.075864915	-0.007068594		
v000172	0	0	0		
v000174	0.8573539501	-0.059280878	0.0235335359		
v000175	0.7975881291	0.1255622874	-0.04740581		
v000177	0	0	0		
v000179	0.8285273068	0.0862403644	0.0499469464		
v000184	0.7598830551	-0.035494427	0.08291554		
v000188	0.8162914013	-0.025578146	0.0970102644		
v000189	0	0	0		
v000192	0.7121082789	-0.153561289	-0.086305753		
v000201	0.8947073972	0.1684658793	-0.059172567		
v000203	0.7680672249	0.0314262412	0.1379109004		
v000204	0.8403122736	-0.023594508	0.0943743734		
v000207	0.75808455	-0.121609318	-0.013394071		
v000209	0.787543566	-0.064089358	0.0552988401		
v000212	0.7364213509	-0.066068291	-0.047158488		
v000214	0.170615031	0.8039486684	-0.055115091		
v000219	0	0	0		
v000220	0.8033073165	0.0213969107	-0.007293534		
v000222	0.8474481248	-0.006080862	0.0981901033		
v000229	0.9209247955	0.0332657009	0.0358161238		
v000234	0.7066232617	-0.134648856	-0.218791076		
v000236	0.8606168026	0.0280855542	0.0316406911		
v000240	0.8126883002	0.0373139077	-0.017810348		
v000248	0.7562069169	-0.169093606	-0.002118201		
v000250	0.8079498875	0.0007235569	-0.010646551		
v000253	0	0	0		
v000263	0.7692050661	0.078132704	0.0216556565		
v000267	0.7335621903	-0.086638022	-0.064662627		
v000269	0.7400600838	-0.115970797	0.1141764621		
v000278	-0.058322525	0.6062941465	0.0988835448		
v000279	0	0	0		
v000290	0.7817969962	0.0851733021	0.10270348		
v000308	0.8208866378	0.0357930723	0.1095820463		
v000334	0.6861100309	-0.075348456	0.0045459328		
v000336	0.7270912924	-0.207661672	0.1003939097		
v000337	0.6816590302	-0.053020644	0.2908825109		
v000340	0.6160208811	-0.188062438	-0.257169706		
v000342	0.1404985135	0.0257515419	0.7000200618		
v000347	0.7165837971	0.031536433	0.0321791897		
v000348	-0.069400696	0.7263472964	0.2097219211		
v000349	0.7427361069	0.1057377077	-0.018178751		
v000355	0.845005565	-0.074982202	-0.088287534		
v000375	0.0254044847	0.6938627677	0.2082737109		
v000379	0.774856645	-0.089115567	0.0432369239		
v000382	0.7692756383	0.0126146037	0.0336787676		
v000389	0.8574865826	-0.037344495	-0.125920811		
v000396	0.7899412666	-0.0308993	-0.049318041		
v000398	0.811675783	0.3520415108	-0.148300998	fac2	1
v000414	0.7402315081	-0.026788563	-0.003471614		
v000420	0.6836661965	-0.137712451	0.0329708883		
v000421	0.6156306768	-0.173896518	-0.317945308	fac3	1
v000434	0.7271745294	-0.181084983	-0.003928622		
v000449	0.7678539667	0.0039408821	0.0322866521		
v000450	0.0903085495	0.370988064	0.4331899581	fac2	1
v000457	0.7846405363	-0.005772123	0.0612619954		
v000464	0.7393018202	-0.208563795	0.0199930855		
v000501	0.6688578617	0.0111090458	0.0063556441		
v000506	0.0299956242	0.4611406658	0.0471299373		
v000516	0.7606257142	0.037024258	-0.119808905		
v000521	0.7330112399	-0.217408267	0.0314308322		
v000534	-0.006084646	0.7313787448	0.0097864618		
v000560	0.7640472641	-0.155054652	0.1228995462		
v000566	0.6857245412	-0.05380978	-0.103187669		
v000578	0.0155604091	-0.05795882	0.9121267662		
v000579	-0.134177786	0.3156416432	0.4798341583	fac2	1
v000589	0.0678533625	0.5935910528	-0.052981812		
v000620	0.7109077084	0.1135457443	-0.10495759		
v000646	0.0369709515	0.791299819	-0.159467786		
v000683	-0.082049789	0.2112346741	0.661072492		
v000686	0.6959424839	-0.154141951	-0.011880118		
v000694	-0.062918045	0.7790076971	-0.043471931		
v000708	0.6434706304	-0.078944443	-0.136035559		
v000717	0.653842502	-0.177142216	0.0154204254		
v000752	-0.176585256	0.8368224803	0.0024746751		
v000754	-0.309334978	0.4556704228	0.1697653785	fac1	1
v000791	0.0851317429	-0.06147513	0.8889110744		
v000796	0.769799678	0.033171507	0.0722060354		
v000802	0.7703061643	-0.027288272	0.0103481136		
v000816	-0.005450392	0.6106330476	0.0056965625		
v000848	0.5221653597	0.2705468739	0.1333598528		
